question,answer_llm,answer_orig,document
"I just found this course, is it too late for me to join, or can I still sign up?","Yes, you can still join. You don’t need a confirmation email or prior registration—just start learning and submit homework while the form is open. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, will I still be able to get a certificate somehow?","Yes. If you join now, you can still get a certificate, but you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,"To qualify for the certificate, you need to:

- **Finish the course with a live cohort**
- **Submit and pass the Capstone project**
- **Peer-review 3 peers’ capstone projects**

If you join late, you can still catch up as long as you participate while the course is running and complete the peer-review requirement. Homework is **not mandatory** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I submit my final project after the submission window has closed and still get certified?,"No. You can only get certified if you finish the course with a live cohort and complete the required peer reviews. Once the submission window is closed, you can’t submit anymore, and self-paced/later completion doesn’t qualify for a certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is there any deadline I should know about if I want a certificate for this course?,"Yes — if you want a certificate, you must submit your project while the course is still accepting submissions. After the form closes, you can no longer submit, and you also need to finish with a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to wait for a confirmation email before I can start the LLM Zoomcamp?,"No. You don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
I registered for the course but never got a confirmation message — is something wrong?,"You don't need a confirmation message — you're accepted. Registration is only used to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin watching lessons and sending homework without being on some official signup list?,Yes. You can start watching the lessons and submit homework without being on any official registered list. Registration isn’t checked; it’s just for gauging interest.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registration if there isn’t any approval or confirmation email?,"Registration is just to gauge interest before the start date. You’re already accepted, and you don’t need a confirmation email to start learning or submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is course registration actually required, or can I just jump in while homework is still open?","No — registration is not required. You can start learning and submit homework while the form is open, even without registering. Registration is only to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where do I watch the Office Hours or live workshop stream if I’m a student?,Students participate via YouTube Live and can watch on the DataTalksClub YouTube Channel. The video URL is also posted in the announcements channel on Telegram and Slack before it begins.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there a Zoom link for the live sessions, or do students use something else to join?","Students do **not** join the live sessions via Zoom. The **Zoom link is only for instructors/presenters/TAs**.

Students join through **YouTube Live**, and questions are submitted via **Slido** (the link is pinned in chat when live). The video URL is also posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I ask questions during Office Hours if the Zoom room is only for presenters?,"Students don’t ask questions in the Zoom chat. Instead:

- Watch the Office Hours on YouTube Live
- Submit questions through Slido
- The Slido link is pinned in the live chat when the session starts
- The video link is posted in the announcements channel on Telegram/Slack before it begins

So even if the Zoom room is only for presenters, your questions should go through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
