question,document
"I just found this course, is it too late for me to join, or can I still sign up?",74eb249bbf
"If I join now, will I still be able to get a certificate somehow?",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,74eb249bbf
Can I submit my final project after the submission window has closed and still get certified?,74eb249bbf
Is there any deadline I should know about if I want a certificate for this course?,74eb249bbf
Do I need to wait for a confirmation email before I can start the LLM Zoomcamp?,977bf7786c
I registered for the course but never got a confirmation message — is something wrong?,977bf7786c
Can I begin watching lessons and sending homework without being on some official signup list?,977bf7786c
What’s the point of registration if there isn’t any approval or confirmation email?,977bf7786c
"Is course registration actually required, or can I just jump in while homework is still open?",977bf7786c
Where do I watch the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Is there a Zoom link for the live sessions, or do students use something else to join?",489dd1c9d9
How do I ask questions during Office Hours if the Zoom room is only for presenters?,489dd1c9d9
Will the live session video link be shared somewhere before it starts?,489dd1c9d9
"Should I post my questions in the chat during the stream, or is there a better place to send them?",489dd1c9d9
Where should I begin if I just joined LLM Zoomcamp and want to keep up with the weekly work?,04919992b3
"What’s the usual way to study each week in the course — videos first, then notebooks, then homework?",04919992b3
"Do I have to start on a fixed date, or can I join the course whenever I want?",04919992b3
Where can I find the deadlines and submit my homework answers for LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use a different dataset/task?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name anywhere?,c2903069a0
"Why do I show up under a random name on the leaderboard, and can I change it?",c2903069a0
Where can I check what my display name is for the course?,c2903069a0
What’s the difference between the nickname field and the official name field in my course profile?,c2903069a0
How do I make sure my certificate shows my real name instead of the default one?,c2903069a0
Can I take the course on my own schedule and still get the certificate?,69d122f12e
Do you give certificates to people who do the self-paced version?,69d122f12e
Why isn't there a certificate if I go through the course later by myself?,69d122f12e
Do I have to join a live cohort to qualify for the certificate?,69d122f12e
"Is the peer-review part required for the certificate, or can I skip it if I study solo?",69d122f12e
"If I skipped the first homework, can I still earn the course certificate?",9f689c185f
Do I have to complete every homework assignment to get certified?,9f689c185f
Is the Capstone project the only requirement for the certificate?,9f689c185f
What happens if I miss some homework in this course?,9f689c185f
"Are homework points required for the certificate, or just for the leaderboard?",9f689c185f
Why does the homework keep changing while I’m trying to work on it?,96286b4be4
How do I know if a homework assignment is actually ready and not still being edited?,96286b4be4
What does the [DRAFT] label in the homework title mean?,96286b4be4
"If the homework form is already open, does that mean the assignment is finalized?",96286b4be4
Is it safe to start homework early before the final version is posted?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know when the next course offering starts?,bd31146b0e
What’s the next available session for this course?,bd31146b0e
Is there a date for the upcoming run of the course?,bd31146b0e
When can I expect this course to be offered again?,bd31146b0e
Where can I find the course videos or lectures for this zoomcamp?,31456f4b5f
Is there a main page or repo I should open first to get to the lesson videos?,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the lesson links?",31456f4b5f
How do I find the videos for each lesson in the LLM Zoomcamp materials?,31456f4b5f
"If I’m lost, what’s the easiest place to start looking for the lecture recordings?",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort info?,20c5a1347e
What’s the best place to follow homework deadlines and my progress in LLM Zoomcamp?,20c5a1347e
Is there a course platform for tracking all the LLM Zoomcamp materials and due dates?,20c5a1347e
"How can I keep up with the Zoomcamp structure, assignments, and progress in one place?",20c5a1347e
Do we use a management site for LLM Zoomcamp like the other DataTalks.Club courses?,20c5a1347e
"Do we get a live session or office hour for every module in the course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help—Slack, office hours, or somewhere else?",d65e05bd7a
"Are live sessions part of the regular course schedule, or only announced occasionally?",d65e05bd7a
Is there any optional paid support with Zoom office hours if I want more structure while taking the course?,d65e05bd7a
"Where can I find the module materials, and are they available without waiting for live classes?",d65e05bd7a
Can I get learning in public credits for posting on Bluesky?,dbf5369006
Do Bluesky posts count toward the learning in public requirement?,dbf5369006
Is Bluesky accepted if I want to use it for learning in public credits?,dbf5369006
Can I earn those public learning credits with a Bluesky post?,dbf5369006
Are Bluesky updates valid for learning in public credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram channel for LLM Zoomcamp announcements?,054f3fd58f
Which Telegram channel should I use to follow LLM Zoomcamp updates?,054f3fd58f
Where do I find the official LLM Zoomcamp Telegram channel?,054f3fd58f
Why are the FAQ row counts different from what I see in the videos?,e2d595f23c
Is it normal that the dataset has a different number of records now than in the recording?,e2d595f23c
Did the FAQ data change after the course videos were made?,e2d595f23c
Why do I get more or fewer FAQ entries than the lecture shows?,e2d595f23c
"Is the FAQ dataset live, and could that explain the mismatch with the video?",e2d595f23c
Can I still turn in homework if the deadline already passed but the submission form is still open?,a9353fadfe
"The due date is over, but the form hasn't closed yet — does that mean I can still submit my answers?",a9353fadfe
"If the homework deadline passed yesterday, but the submission page is still available, am I allowed to send it in?",a9353fadfe
Is it okay to submit late as long as the assignment form is still open?,a9353fadfe
When does homework submission actually stop — after the deadline or only once the form is closed?,a9353fadfe
Can I turn in homework after the due date if the form is still open?,cdc3b285e5
Do you give any individual extensions for missed homework deadlines?,cdc3b285e5
"What happens if I miss a homework submission, will it block my certificate?",cdc3b285e5
Are late homework submissions accepted once the form is closed?,cdc3b285e5
"Does homework count for the certificate, or is it only for the leaderboard?",cdc3b285e5
Will the name I enter for the certificate be visible to everyone online or sent to other companies?,651ba06b34
"Does the certificate name also show up on the public leaderboard, or is that a different field?",651ba06b34
How do I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
"In the course profile, which name is the public nickname and which one is printed on the certificate?",651ba06b34
"Is the certificate name private, or can other students and third parties see it?",651ba06b34
Why doesn’t this course start with LangChain instead of building everything by hand first?,b7cdde6b25
"What’s the reason we learn prompting, retrieval, indexing, and evaluation before using a framework like LangChain?",b7cdde6b25
